experiment_id,rps,timestamp_completion,events_processed
4,10000,2025-02-05 14:05:22+00:00,1570
4,10000,2025-02-05 14:05:23+00:00,2654
4,10000,2025-02-05 14:05:24+00:00,1972
4,10000,2025-02-05 14:05:25+00:00,1482
4,10000,2025-02-05 14:05:26+00:00,1487
4,10000,2025-02-05 14:05:27+00:00,1527
4,10000,2025-02-05 14:05:28+00:00,1780
4,10000,2025-02-05 14:05:29+00:00,1254
4,10000,2025-02-05 14:05:30+00:00,1650
4,10000,2025-02-05 14:05:31+00:00,1586
4,10000,2025-02-05 14:05:32+00:00,1711
4,10000,2025-02-05 14:05:33+00:00,1639
4,10000,2025-02-05 14:05:34+00:00,1546
4,10000,2025-02-05 14:05:35+00:00,1731
4,10000,2025-02-05 14:05:36+00:00,1592
4,10000,2025-02-05 14:05:37+00:00,1532
4,10000,2025-02-05 14:05:38+00:00,1714
4,10000,2025-02-05 14:05:39+00:00,1772
4,10000,2025-02-05 14:05:40+00:00,1676
4,10000,2025-02-05 14:05:41+00:00,1264
4,10000,2025-02-05 14:05:42+00:00,1713
4,10000,2025-02-05 14:05:43+00:00,697
4,10000,2025-02-05 14:05:44+00:00,153
4,10000,2025-02-05 14:05:45+00:00,162
4,10000,2025-02-05 14:05:46+00:00,170
4,10000,2025-02-05 14:05:47+00:00,171
4,10000,2025-02-05 14:05:48+00:00,146
4,10000,2025-02-05 14:05:49+00:00,160
4,10000,2025-02-05 14:05:50+00:00,184
4,10000,2025-02-05 14:05:51+00:00,162
4,10000,2025-02-05 14:05:52+00:00,168
4,10000,2025-02-05 14:05:53+00:00,171
4,10000,2025-02-05 14:05:54+00:00,171
4,10000,2025-02-05 14:05:55+00:00,1056
4,10000,2025-02-05 14:05:56+00:00,2004
4,10000,2025-02-05 14:05:57+00:00,2478
4,10000,2025-02-05 14:05:58+00:00,1414
4,10000,2025-02-05 14:05:59+00:00,1319
4,10000,2025-02-05 14:06:00+00:00,1440
4,10000,2025-02-05 14:06:01+00:00,1472
4,10000,2025-02-05 14:06:02+00:00,1374
4,10000,2025-02-05 14:06:03+00:00,1365
4,10000,2025-02-05 14:06:04+00:00,1381
4,10000,2025-02-05 14:06:05+00:00,1622
4,10000,2025-02-05 14:06:06+00:00,1447
4,10000,2025-02-05 14:06:07+00:00,1334
4,10000,2025-02-05 14:06:08+00:00,1354
4,10000,2025-02-05 14:06:09+00:00,1651
4,10000,2025-02-05 14:06:10+00:00,1448
4,10000,2025-02-05 14:06:11+00:00,1722
4,10000,2025-02-05 14:06:12+00:00,1550
4,10000,2025-02-05 14:06:13+00:00,1618
4,10000,2025-02-05 14:06:14+00:00,1660
4,10000,2025-02-05 14:06:15+00:00,1728
4,10000,2025-02-05 14:06:16+00:00,1597
4,10000,2025-02-05 14:06:17+00:00,1210
4,10000,2025-02-05 14:06:18+00:00,317
4,10000,2025-02-05 14:06:19+00:00,1553
4,10000,2025-02-05 14:06:20+00:00,259
4,10000,2025-02-05 14:06:21+00:00,2293
4,10000,2025-02-05 14:06:22+00:00,274
4,10000,2025-02-05 14:06:23+00:00,2287
4,10000,2025-02-05 14:06:24+00:00,965
4,10000,2025-02-05 14:06:25+00:00,2092
4,10000,2025-02-05 14:06:26+00:00,2010
4,10000,2025-02-05 14:06:27+00:00,1702
4,10000,2025-02-05 14:06:28+00:00,2757
4,10000,2025-02-05 14:06:29+00:00,1716
4,10000,2025-02-05 14:06:30+00:00,2005
4,10000,2025-02-05 14:06:31+00:00,1629
4,10000,2025-02-05 14:06:32+00:00,1759
4,10000,2025-02-05 14:06:33+00:00,1322
4,10000,2025-02-05 14:06:34+00:00,2258
4,10000,2025-02-05 14:06:35+00:00,1236
4,10000,2025-02-05 14:06:36+00:00,1627
4,10000,2025-02-05 14:06:37+00:00,1067
4,10000,2025-02-05 14:06:38+00:00,2050
4,10000,2025-02-05 14:06:39+00:00,789
4,10000,2025-02-05 14:06:40+00:00,3208
4,10000,2025-02-05 14:06:41+00:00,724
4,10000,2025-02-05 14:06:42+00:00,1932
4,10000,2025-02-05 14:06:43+00:00,643
4,10000,2025-02-05 14:06:44+00:00,2175
4,10000,2025-02-05 14:06:45+00:00,264
4,10000,2025-02-05 14:06:46+00:00,252
4,10000,2025-02-05 14:06:47+00:00,222
4,10000,2025-02-05 14:06:48+00:00,249
4,10000,2025-02-05 14:06:49+00:00,210
4,10000,2025-02-05 14:06:50+00:00,284
4,10000,2025-02-05 14:06:51+00:00,205
4,10000,2025-02-05 14:06:52+00:00,240
4,10000,2025-02-05 14:06:53+00:00,229
4,10000,2025-02-05 14:06:54+00:00,225
4,10000,2025-02-05 14:06:55+00:00,204
4,10000,2025-02-05 14:06:56+00:00,1319
4,10000,2025-02-05 14:06:57+00:00,198
4,10000,2025-02-05 14:06:58+00:00,2919
4,10000,2025-02-05 14:06:59+00:00,857
4,10000,2025-02-05 14:07:00+00:00,1214
4,10000,2025-02-05 14:07:01+00:00,1275
4,10000,2025-02-05 14:07:02+00:00,1055
4,10000,2025-02-05 14:07:03+00:00,1352
4,10000,2025-02-05 14:07:04+00:00,1180
4,10000,2025-02-05 14:07:05+00:00,1477
4,10000,2025-02-05 14:07:06+00:00,1044
4,10000,2025-02-05 14:07:07+00:00,1334
4,10000,2025-02-05 14:07:08+00:00,1297
4,10000,2025-02-05 14:07:09+00:00,1232
4,10000,2025-02-05 14:07:10+00:00,1537
4,10000,2025-02-05 14:07:11+00:00,1262
4,10000,2025-02-05 14:07:12+00:00,1467
4,10000,2025-02-05 14:07:13+00:00,1339
4,10000,2025-02-05 14:07:14+00:00,1428
4,10000,2025-02-05 14:07:15+00:00,1229
4,10000,2025-02-05 14:07:16+00:00,1473
4,10000,2025-02-05 14:07:17+00:00,1233
4,10000,2025-02-05 14:07:18+00:00,1591
4,10000,2025-02-05 14:07:19+00:00,1215
4,10000,2025-02-05 14:07:20+00:00,1649
4,10000,2025-02-05 14:07:21+00:00,285
4,10000,2025-02-05 14:07:22+00:00,843
4,10000,2025-02-05 14:07:23+00:00,1189
4,10000,2025-02-05 14:07:24+00:00,701
4,10000,2025-02-05 14:07:25+00:00,2248
4,10000,2025-02-05 14:07:26+00:00,516
4,10000,2025-02-05 14:07:27+00:00,3173
4,10000,2025-02-05 14:07:28+00:00,376
4,10000,2025-02-05 14:07:29+00:00,3493
4,10000,2025-02-05 14:07:30+00:00,214
4,10000,2025-02-05 14:07:31+00:00,3571
4,10000,2025-02-05 14:07:32+00:00,205
4,10000,2025-02-05 14:07:33+00:00,3327
4,10000,2025-02-05 14:07:34+00:00,190
4,10000,2025-02-05 14:07:35+00:00,2670
4,10000,2025-02-05 14:07:36+00:00,207
4,10000,2025-02-05 14:07:37+00:00,3096
4,10000,2025-02-05 14:07:38+00:00,255
4,10000,2025-02-05 14:07:39+00:00,2831
4,10000,2025-02-05 14:07:40+00:00,221
4,10000,2025-02-05 14:07:41+00:00,2884
4,10000,2025-02-05 14:07:42+00:00,421
4,10000,2025-02-05 14:07:43+00:00,2581
4,10000,2025-02-05 14:07:44+00:00,199
4,10000,2025-02-05 14:07:45+00:00,2502
4,10000,2025-02-05 14:07:46+00:00,269
4,10000,2025-02-05 14:07:47+00:00,264
4,10000,2025-02-05 14:07:48+00:00,205
4,10000,2025-02-05 14:07:49+00:00,203
4,10000,2025-02-05 14:07:50+00:00,241
4,10000,2025-02-05 14:07:51+00:00,201
4,10000,2025-02-05 14:07:52+00:00,189
4,10000,2025-02-05 14:07:53+00:00,195
4,10000,2025-02-05 14:07:54+00:00,190
4,10000,2025-02-05 14:07:55+00:00,170
4,10000,2025-02-05 14:07:56+00:00,176
4,10000,2025-02-05 14:07:57+00:00,1197
4,10000,2025-02-05 14:07:58+00:00,218
4,10000,2025-02-05 14:07:59+00:00,1336
4,10000,2025-02-05 14:08:00+00:00,2498
4,10000,2025-02-05 14:08:01+00:00,505
4,10000,2025-02-05 14:08:02+00:00,1344
4,10000,2025-02-05 14:08:03+00:00,774
4,10000,2025-02-05 14:08:04+00:00,1517
4,10000,2025-02-05 14:08:05+00:00,1041
4,10000,2025-02-05 14:08:06+00:00,1347
4,10000,2025-02-05 14:08:07+00:00,1322
4,10000,2025-02-05 14:08:08+00:00,1505
4,10000,2025-02-05 14:08:09+00:00,950
4,10000,2025-02-05 14:08:10+00:00,1307
4,10000,2025-02-05 14:08:11+00:00,1248
4,10000,2025-02-05 14:08:12+00:00,1547
4,10000,2025-02-05 14:08:13+00:00,1211
4,10000,2025-02-05 14:08:14+00:00,1538
4,10000,2025-02-05 14:08:15+00:00,1216
4,10000,2025-02-05 14:08:16+00:00,1305
4,10000,2025-02-05 14:08:17+00:00,1230
4,10000,2025-02-05 14:08:18+00:00,1500
4,10000,2025-02-05 14:08:19+00:00,1464
4,10000,2025-02-05 14:08:20+00:00,1879
4,10000,2025-02-05 14:08:21+00:00,1461
4,10000,2025-02-05 14:08:22+00:00,1818
4,10000,2025-02-05 14:08:23+00:00,229
4,10000,2025-02-05 14:08:24+00:00,2545
4,10000,2025-02-05 14:08:25+00:00,188
4,10000,2025-02-05 14:08:26+00:00,2643
4,10000,2025-02-05 14:08:27+00:00,628
4,10000,2025-02-05 14:08:28+00:00,2479
4,10000,2025-02-05 14:08:29+00:00,1070
4,10000,2025-02-05 14:08:30+00:00,2358
4,10000,2025-02-05 14:08:31+00:00,1551
4,10000,2025-02-05 14:08:32+00:00,2102
4,10000,2025-02-05 14:08:33+00:00,1915
4,10000,2025-02-05 14:08:34+00:00,1794
4,10000,2025-02-05 14:08:35+00:00,1816
4,10000,2025-02-05 14:08:36+00:00,1729
4,10000,2025-02-05 14:08:37+00:00,1499
4,10000,2025-02-05 14:08:38+00:00,1504
4,10000,2025-02-05 14:08:39+00:00,1687
4,10000,2025-02-05 14:08:40+00:00,1324
4,10000,2025-02-05 14:08:41+00:00,1799
4,10000,2025-02-05 14:08:42+00:00,1168
4,10000,2025-02-05 14:08:43+00:00,2548
4,10000,2025-02-05 14:08:44+00:00,1061
4,10000,2025-02-05 14:08:45+00:00,1771
4,10000,2025-02-05 14:08:46+00:00,884
4,10000,2025-02-05 14:08:47+00:00,1380
4,10000,2025-02-05 14:08:48+00:00,229
4,10000,2025-02-05 14:08:49+00:00,178
4,10000,2025-02-05 14:08:50+00:00,203
4,10000,2025-02-05 14:08:51+00:00,194
4,10000,2025-02-05 14:08:52+00:00,226
4,10000,2025-02-05 14:08:53+00:00,223
4,10000,2025-02-05 14:08:54+00:00,203
4,10000,2025-02-05 14:08:55+00:00,213
4,10000,2025-02-05 14:08:56+00:00,271
4,10000,2025-02-05 14:08:57+00:00,495
4,10000,2025-02-05 14:08:58+00:00,210
4,10000,2025-02-05 14:08:59+00:00,1132
4,10000,2025-02-05 14:09:00+00:00,193
4,10000,2025-02-05 14:09:01+00:00,3170
4,10000,2025-02-05 14:09:02+00:00,697
4,10000,2025-02-05 14:09:03+00:00,1044
4,10000,2025-02-05 14:09:04+00:00,724
4,10000,2025-02-05 14:09:05+00:00,1140
4,10000,2025-02-05 14:09:06+00:00,1120
4,10000,2025-02-05 14:09:07+00:00,1041
4,10000,2025-02-05 14:09:08+00:00,1266
4,10000,2025-02-05 14:09:09+00:00,1087
4,10000,2025-02-05 14:09:10+00:00,526
7,15000,2025-02-05 14:09:38+00:00,281
7,15000,2025-02-05 14:09:39+00:00,198
7,15000,2025-02-05 14:09:40+00:00,3270
7,15000,2025-02-05 14:09:41+00:00,208
7,15000,2025-02-05 14:09:42+00:00,2874
7,15000,2025-02-05 14:09:43+00:00,212
7,15000,2025-02-05 14:09:44+00:00,3227
7,15000,2025-02-05 14:09:45+00:00,611
7,15000,2025-02-05 14:09:46+00:00,2290
7,15000,2025-02-05 14:09:48+00:00,267
7,15000,2025-02-05 14:10:03+00:00,782
7,15000,2025-02-05 14:10:04+00:00,620
7,15000,2025-02-05 14:10:05+00:00,1160
7,15000,2025-02-05 14:10:06+00:00,564
7,15000,2025-02-05 14:10:07+00:00,1295
7,15000,2025-02-05 14:10:08+00:00,641
7,15000,2025-02-05 14:10:09+00:00,1143
7,15000,2025-02-05 14:10:10+00:00,1071
7,15000,2025-02-05 14:10:11+00:00,1223
7,15000,2025-02-05 14:10:12+00:00,1040
7,15000,2025-02-05 14:10:13+00:00,1192
7,15000,2025-02-05 14:10:14+00:00,1377
7,15000,2025-02-05 14:10:15+00:00,1278
7,15000,2025-02-05 14:10:16+00:00,1462
7,15000,2025-02-05 14:10:17+00:00,1349
7,15000,2025-02-05 14:10:18+00:00,1116
7,15000,2025-02-05 14:10:19+00:00,1145
7,15000,2025-02-05 14:10:20+00:00,1186
7,15000,2025-02-05 14:10:21+00:00,1466
7,15000,2025-02-05 14:10:22+00:00,1274
7,15000,2025-02-05 14:10:23+00:00,1451
7,15000,2025-02-05 14:10:24+00:00,1258
7,15000,2025-02-05 14:10:25+00:00,1812
7,15000,2025-02-05 14:10:26+00:00,1176
7,15000,2025-02-05 14:10:27+00:00,2234
7,15000,2025-02-05 14:10:28+00:00,187
7,15000,2025-02-05 14:10:29+00:00,2634
7,15000,2025-02-05 14:10:30+00:00,179
7,15000,2025-02-05 14:10:31+00:00,2896
7,15000,2025-02-05 14:10:32+00:00,627
7,15000,2025-02-05 14:10:33+00:00,2740
7,15000,2025-02-05 14:10:34+00:00,1153
7,15000,2025-02-05 14:10:35+00:00,2578
7,15000,2025-02-05 14:10:36+00:00,1173
7,15000,2025-02-05 14:10:37+00:00,2311
7,15000,2025-02-05 14:10:38+00:00,727
7,15000,2025-02-05 14:10:39+00:00,2248
7,15000,2025-02-05 14:10:40+00:00,661
7,15000,2025-02-05 14:10:41+00:00,2005
7,15000,2025-02-05 14:10:42+00:00,672
7,15000,2025-02-05 14:10:43+00:00,1873
7,15000,2025-02-05 14:10:44+00:00,1260
7,15000,2025-02-05 14:10:45+00:00,1818
7,15000,2025-02-05 14:10:46+00:00,1380
7,15000,2025-02-05 14:10:47+00:00,1601
7,15000,2025-02-05 14:10:48+00:00,984
7,15000,2025-02-05 14:10:49+00:00,1392
7,15000,2025-02-05 14:10:50+00:00,1314
7,15000,2025-02-05 14:10:51+00:00,242
7,15000,2025-02-05 14:10:52+00:00,196
7,15000,2025-02-05 14:10:53+00:00,210
7,15000,2025-02-05 14:10:54+00:00,250
7,15000,2025-02-05 14:10:55+00:00,178
7,15000,2025-02-05 14:10:56+00:00,203
7,15000,2025-02-05 14:10:57+00:00,208
7,15000,2025-02-05 14:10:58+00:00,200
7,15000,2025-02-05 14:10:59+00:00,192
7,15000,2025-02-05 14:11:00+00:00,193
7,15000,2025-02-05 14:11:01+00:00,357
7,15000,2025-02-05 14:11:02+00:00,1007
7,15000,2025-02-05 14:11:03+00:00,264
7,15000,2025-02-05 14:11:04+00:00,3520
7,15000,2025-02-05 14:11:05+00:00,207
7,15000,2025-02-05 14:11:06+00:00,1300
7,15000,2025-02-05 14:11:07+00:00,597
7,15000,2025-02-05 14:11:08+00:00,1185
7,15000,2025-02-05 14:11:09+00:00,828
7,15000,2025-02-05 14:11:10+00:00,1116
7,15000,2025-02-05 14:11:11+00:00,752
7,15000,2025-02-05 14:11:12+00:00,1125
7,15000,2025-02-05 14:11:13+00:00,1231
7,15000,2025-02-05 14:11:14+00:00,1155
7,15000,2025-02-05 14:11:15+00:00,1309
7,15000,2025-02-05 14:11:16+00:00,1358
7,15000,2025-02-05 14:11:17+00:00,1373
7,15000,2025-02-05 14:11:18+00:00,1531
7,15000,2025-02-05 14:11:19+00:00,1268
7,15000,2025-02-05 14:11:20+00:00,1229
7,15000,2025-02-05 14:11:21+00:00,1303
7,15000,2025-02-05 14:11:22+00:00,1174
7,15000,2025-02-05 14:11:23+00:00,1249
7,15000,2025-02-05 14:11:24+00:00,1596
7,15000,2025-02-05 14:11:25+00:00,1208
7,15000,2025-02-05 14:11:26+00:00,1859
7,15000,2025-02-05 14:11:27+00:00,1234
7,15000,2025-02-05 14:11:28+00:00,2217
7,15000,2025-02-05 14:11:29+00:00,1374
7,15000,2025-02-05 14:11:30+00:00,1563
7,15000,2025-02-05 14:11:31+00:00,1431
7,15000,2025-02-05 14:11:32+00:00,1392
7,15000,2025-02-05 14:11:33+00:00,2074
